Record Length,40000,,Source,CH1
Sample Interval,CH1:0.0003999999899,,Second,Volt
Vertical Units,CH1:V,,2.121199846,0.48
Vertical Scale,CH1:0.50,,2.121599913,0.5
Vertical Offset,CH1:0.00,,2.121999979,0.5
Horizontal Units,s,,2.122400045,0.48
Horizontal Scale,1,,2.122799873,0.48
Model Number,SMO502,,2.12319994,0.48
Serial Number,SDS1MJGX7R2813,,2.123600006,0.5
Software Version,6.02.01.13,,2.123999834,0.48
,,,2.1243999,0.48
,,,2.124799967,0.5
,,,2.125200033,0.48
,,,2.125599861,0.48
,,,2.125999928,0.48
,,,2.126399994,0.48
,,,2.12680006,0.48
,,,2.127199888,0.48
,,,2.127599955,0.5
,,,2.128000021,0.48
,,,2.128399849,0.5
,,,2.128799915,0.5
,,,2.129199982,0.48
,,,2.129600048,0.48
,,,2.129999876,0.5
,,,2.130399942,0.5
,,,2.130800009,0.48
,,,2.131199837,0.48
,,,2.131599903,0.5
,,,2.131999969,0.48
,,,2.132400036,0.48
,,,2.132799864,0.5
,,,2.13319993,0.5
,,,2.133599997,0.48
,,,2.134000063,0.5
,,,2.134399891,0.5
,,,2.134799957,0.48
,,,2.135200024,0.48
,,,2.135599852,0.48
,,,2.135999918,0.48
,,,2.136399984,0.5
,,,2.136800051,0.48
,,,2.137199879,0.48
,,,2.137599945,0.5
,,,2.138000011,0.5
,,,2.138399839,0.5
,,,2.138799906,0.48
,,,2.139199972,0.48
,,,2.139600039,0.5
,,,2.139999866,0.48
,,,2.140399933,0.48
,,,2.140799999,0.5
,,,2.141199827,0.5
,,,2.141599894,0.5
,,,2.14199996,0.48
,,,2.142400026,0.48
,,,2.142799854,0.5
,,,2.143199921,0.5
,,,2.143599987,0.48
,,,2.144000053,0.48
,,,2.144399881,0.48
,,,2.144799948,0.5
,,,2.145200014,0.5
,,,2.145599842,0.5
,,,2.145999908,0.5
,,,2.146399975,0.48
,,,2.146800041,0.5
,,,2.147199869,0.48
,,,2.147599936,0.48
,,,2.148000002,0.48
,,,2.14839983,0.46
,,,2.148799896,0.5
